millis,Pres,Temp,NH3,CO,NO2
44363,101164,25.4,331,946,82
44685,101164,25.4,331,946,82
45005,101164,25.3,331,946,82
45326,101165,25.3,331,945,82
45646,101167,25.3,331,945,82
45967,101165,25.4,331,945,82
46287,101166,25.3,331,945,82
46609,101162,25.3,331,945,82
46929,101162,25.3,331,945,83
47250,101162,25.3,332,945,83
47570,101161,25.3,332,945,83
47891,101163,25.3,332,945,83
48215,101163,25.4,332,945,83
48535,101165,25.4,332,945,83
48857,101165,25.3,332,945,83
49177,101161,25.3,332,945,83
49498,101167,25.3,332,945,83
49818,101160,25.4,332,945,83
50139,101161,25.3,332,945,83
50459,101162,25.3,332,945,83
50780,101162,25.3,332,945,83
51101,101164,25.3,332,945,83
51422,101164,25.3,332,945,83
51744,101163,25.3,332,945,83
52065,101164,25.3,332,945,83
52385,101160,25.4,332,944,83
52706,101164,25.3,332,945,83
53029,101163,25.3,332,944,83
53350,101164,25.4,333,945,83
53670,101162,25.3,333,945,83
53991,101163,25.3,333,945,84
54312,101165,25.3,333,945,84
54633,101164,25.3,333,945,84
54953,101164,25.3,333,945,84
55274,101160,25.4,333,945,84
55595,101163,25.3,333,945,84
55915,101162,25.4,333,944,84
56236,101164,25.4,333,945,84
56557,101163,25.4,333,944,84
56878,101160,25.4,333,944,84
57198,101164,25.4,333,944,84
57519,101164,25.4,333,944,84
57842,101159,25.4,333,944,84
58163,101161,25.4,333,944,84
58483,101160,25.4,333,944,84
58805,101159,25.4,333,944,84
59125,101162,25.4,333,944,84
59446,101164,25.4,333,944,84
59766,101164,25.4,334,944,84
60087,101164,25.4,334,944,84
60408,101162,25.4,334,944,84
60729,101164,25.4,334,944,84
61049,101162,25.4,334,944,84
61372,101163,25.4,334,944,85
61692,101164,25.4,334,944,85
62013,101161,25.4,334,944,85
62333,101161,25.4,334,944,85
62657,101161,25.4,334,944,85
62979,101162,25.4,334,944,85
63299,101162,25.4,334,944,85
63620,101159,25.4,334,943,85
63940,101162,25.4,334,944,85
64261,101160,25.4,334,944,85
64582,101158,25.4,334,944,85
64903,101164,25.4,334,944,85
65223,101163,25.4,334,944,85
65544,101166,25.4,334,944,85
65864,101163,25.4,334,944,85
66185,101164,25.4,334,943,85
66506,101164,25.4,334,943,85
66827,101163,25.4,334,943,85
67147,101160,25.4,334,943,85
67471,101164,25.4,334,943,85
67791,101164,25.4,334,943,85
68113,101162,25.4,334,943,85
68433,101160,25.4,334,943,85
68754,101156,25.4,334,943,85
69074,101164,25.4,334,943,85
69395,101163,25.4,334,943,85
69715,101162,25.4,334,943,85
70037,101163,25.4,334,943,86
70358,101161,25.4,334,943,86
70678,101159,25.4,334,943,86
71001,101163,25.4,334,943,86
71321,101163,25.4,334,943,86
71642,101161,25.4,334,943,86
71962,101162,25.4,334,943,86
72286,101159,25.4,334,943,86
72606,101161,25.4,334,943,86
72928,101166,25.4,334,943,86
73248,101162,25.4,334,943,86
73569,101160,25.4,334,943,86
73889,101158,25.4,334,943,86
74210,101159,25.4,334,943,86
74531,101161,25.4,334,943,86
74852,101162,25.4,334,943,86
75172,101161,25.4,334,943,86
75493,101168,25.4,334,943,86
75813,101168,25.4,334,943,86
76135,101166,25.4,334,943,86
76455,101168,25.4,334,943,86
76776,101166,25.4,334,943,86
77100,101164,25.4,334,943,86
77420,101168,25.4,335,943,86
77742,101168,25.4,335,943,86
78062,101164,25.4,335,943,86
78383,101164,25.4,335,943,86
78704,101165,25.4,335,943,86
79025,101165,25.4,335,943,87
79345,101167,25.4,335,942,86
79667,101165,25.4,335,943,87
79987,101164,25.4,335,942,87
80308,101164,25.4,335,942,87
80629,101165,25.4,335,942,87
80952,101164,25.4,335,943,87
81272,101165,25.4,335,942,87
81593,100517,25.4,335,942,87
81916,99579,25.4,335,942,87
82238,98542,25.4,335,942,87
82558,97276,25.4,335,942,87
